main_uberon_id,mesh_ids,umls_ids
UBERON:0000118,,"C1514420 {source=""ncithesaurus:Primary_Bronchial_Bud""},C1514897 {source=""ncithesaurus:Respiratory_Diverticulum""}"
UBERON:0000120,"D001812 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0005854 {source=""ncithesaurus:Blood-Brain_Barrier""}"
UBERON:0000121,,"C0205890 {source=""ncithesaurus:Perineurium""}"
UBERON:0000123,,"C0205888 {source=""ncithesaurus:Endoneurium""}"
UBERON:0000124,,"C0205889 {source=""ncithesaurus:Epineurium""}"
UBERON:0000127,D065828,"C0228740 {source=""ncithesaurus:Facial_Nerve_Nucleus""}"
UBERON:0000158,D008566,
UBERON:0000159,"D001003 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0227411 {source=""ncithesaurus:Anal_Canal""}"
UBERON:0000160,D007422,"C0021853 {source=""ncithesaurus:Intestine""}"
UBERON:0000162,D002988,"C0008987 {source=""ncithesaurus:Cloaca""}"
UBERON:0000164,,"C0231057 {source=""ncithesaurus:Urogenital_Sinus""}"
UBERON:0000165,D009055,
UBERON:0000167,"D009055 {mapping:provider=""https://github.com/biopragmatics/biomappings"", mapping:justification=""https://w3id.org/semapv/vocab/LexicalMatching""}","C0226896 {source=""ncithesaurus:Oral_Cavity""}"
UBERON:0000173,D000653,"C0002638 {source=""ncithesaurus:Amniotic_Fluid""}"
UBERON:0000175,"D010996 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}",
UBERON:0000178,D001769,"C0005767 {source=""ncithesaurus:Blood""}"
UBERON:0000180,,"C0230171 {source=""ncithesaurus:Flank""}"
UBERON:0000200,,"C0458308 {source=""ncithesaurus:Cerebral_Gyrus""}"
UBERON:0000209,D005624,"C0016732 {source=""ncithesaurus:Frontal_Bone""}"
UBERON:0000210,D010294,"C0030558 {source=""ncithesaurus:Parietal_Bone""}"
UBERON:0000211,D008022,"C0023685 {source=""ncithesaurus:Ligament""}"
UBERON:0000220,"D001269 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0004169 {source=""ncithesaurus:Atlanto-occipital_Joint""}"
UBERON:0000301,,"C0230976 {source=""ncithesaurus:Amniotic_Cavity""}"
UBERON:0000304,,"C0224856 {source=""ncithesaurus:Tendon_Sheath""}"
UBERON:0000305,D000650,"C0002630 {source=""ncithesaurus:Amnion""}"
UBERON:0000307,D036703,
UBERON:0000310,D001940,"C0006141 {source=""ncithesaurus:Breast""}"
UBERON:0000315,D013346,
UBERON:0000316,D002582,
UBERON:0000319,,"C0230960 {source=""ncithesaurus:Cytotrophoblast""}"
UBERON:0000323,D005333,"C0015965 {source=""ncithesaurus:Fetus""}"
UBERON:0000326,D010189,
UBERON:0000329,,"C1182707 {source=""ncithesaurus:Hair_Root""}"
UBERON:0000341,,"C0230069 {source=""ncithesaurus:Throat""}"
UBERON:0000344,D009092,"C0026724 {source=""ncithesaurus:Mucosa""}"
UBERON:0000347,D009186,"C0026973 {source=""ncithesaurus:Myelin_Sheath""}"
UBERON:0000348,D009882,"C0029082 {source=""ncithesaurus:Ophthalmic_Nerve""}"
UBERON:0000349,D008032,"C0023715 {source=""ncithesaurus:Limbic_System""}"
UBERON:0000353,,"C0933845 {source=""ncithesaurus:Parenchyma""}"
UBERON:0000358,D001755,"C1281743 {source=""ncithesaurus:Blastocyst""}"
UBERON:0000359,,"C1947929 {source=""ncithesaurus:Prepucial_Gland_MMHCC""}"
UBERON:0000362,D007679,"C0022664 {source=""ncithesaurus:Renal_Medulla""}"
UBERON:0000363,D012157,"C0035287 {source=""ncithesaurus:Reticuloendothelial_System""}"
UBERON:0000365,D019459,"C0225339 {source=""ncithesaurus:Transitional_Epithelium""},C0227598 {source=""ncithesaurus:Urothelium""}"
UBERON:0000369,D003342,"C0010097 {source=""ncithesaurus:Corpus_Striatum""}"
UBERON:0000371,,"C1135936 {source=""ncithesaurus:Syncytiotrophoblast""}"
UBERON:0000375,D008340,"C0024695 {source=""ncithesaurus:Inferior_Maxillary_Nerve""}"
UBERON:0000376,D013848,"C0039866 {source=""ncithesaurus:Thigh""}"
UBERON:0000377,D008442,
UBERON:0000378,,"C0448325 {source=""ncithesaurus:Tongue_Muscle""},C1710437 {source=""ncithesaurus:Tongue_Skeletal_Muscle_Tissue""}"
UBERON:0000382,D001050,"C0930083 {source=""ncithesaurus:Apocrine_Sweat_Gland""}"
UBERON:0000387,"D000072600 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0224498 {source=""ncithesaurus:Meniscus""}"
UBERON:0000388,D004825,"C0014540 {source=""ncithesaurus:Epiglottis""}"
UBERON:0000389,D007904,
UBERON:0000390,D007907,
UBERON:0000391,,"C0228126 {source=""ncithesaurus:Leptomeninges""}"
UBERON:0000395,D013136,
UBERON:0000396,,"C0226965 {source=""BIRNLEX:4106_2""},C1182961 {source=""BIRNLEX:4106_2"", source=""ncithesaurus:Circumvallate_Papilla""},C1267555 {source=""BIRNLEX:4106_2""}"
UBERON:0000403,D012535,"C0036270 {source=""ncithesaurus:Scalp""}"
UBERON:0000411,D014793,
UBERON:0000412,,"C0221931 {source=""ncithesaurus:Dermal_Papilla""}"
UBERON:0000416,D013355,
UBERON:0000423,D004439,"C0013492 {source=""ncithesaurus:Eccrine_Sweat_Gland""}"
UBERON:0000424,,"C0227203 {source=""ncithesaurus:Gastric_Pit""}"
UBERON:0000428,,"C1179826 {source=""ncithesaurus:Prostatic_Epithelium""}"
UBERON:0000432,D020392,
UBERON:0000435,,"C0086527 {source=""BIRNLEX:1206""}"
UBERON:0000444,,"C0229654 {source=""ncithesaurus:Lymphoid_Follicle""}"
UBERON:0000446,,"C0752060 {source=""BIRNLEX:963""}"
UBERON:0000451,D017397,
UBERON:0000453,,"C0230965 {source=""ncithesaurus:Decidua_Basalis""}"
UBERON:0000454,,"C0815008 {source=""ncithesaurus:Cerebral_Subcortex""}"
UBERON:0000456,D012634,"C1516992 {source=""ncithesaurus:Exocrine_Gland_Fluid_or_Secretion""}"
UBERON:0000458,,"C0227837 {source=""ncithesaurus:Endocervix""}"
UBERON:0000460,D001472,
UBERON:0000464,,"C0524461 {source=""ncithesaurus:Lumen_Space""}"
UBERON:0000467,,"C0460002 {source=""ncithesaurus:Organ_System""}"
UBERON:0000473,D013737,"C0039597 {source=""ncithesaurus:Testis""}"
UBERON:0000474,D005836,"C0700038 {source=""ncithesaurus:Female_Reproductive_System""}"
UBERON:0000475,D001829,"C0229962 {source=""ncithesaurus:Body_Part""}"
UBERON:0000478,,"C1282438 {source=""ncithesaurus:Extraembryonic_Structure""}"
UBERON:0000479,D014024,"C0040300 {source=""ncithesaurus:Tissue""}"
UBERON:0000482,D001485,"C0085872 {source=""ncithesaurus:Basal_Lamina""}"
UBERON:0000483,D004848,"C0014609 {source=""ncithesaurus:Epithelium""}"
UBERON:0000484,,"C0836134 {source=""ncithesaurus:Simple_Cuboidal_Epithelium""}"
UBERON:0000485,,"C0836135 {source=""ncithesaurus:Simple_Columnar_Epithelium""}"
UBERON:0000486,,"C0682575 {source=""ncithesaurus:Stratified_Epithelium""}"
UBERON:0000487,,"C0836133 {source=""ncithesaurus:Simple_Squamous_Epithelium""}"
UBERON:0000490,,"C0682574 {source=""ncithesaurus:Simple_Epithelium""}"
UBERON:0000569,"D007080 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0020880 {source=""ncithesaurus:Ileocecal_Valve""}"
UBERON:0000908,,"C0228287 {source=""BIRNLEX:746""}"
UBERON:0000911,D002913,"C0008730 {source=""ncithesaurus:Chyle""}"
UBERON:0000912,D009093,"C0026727 {source=""ncithesaurus:Mucus""}"
UBERON:0000916,D000005,
UBERON:0000922,D004622,"C0013935 {source=""ncithesaurus:Embryo""}"
UBERON:0000923,D005855,"C0920502 {source=""ncithesaurus:Embryonic_Tissue""},C1708239 {source=""ncithesaurus:Germinal_Layer""}"
UBERON:0000924,D004475,"C0013574 {source=""ncithesaurus:Ectoderm""}"
UBERON:0000925,D004707,"C0014144 {source=""ncithesaurus:Endoderm""}"
UBERON:0000926,D008648,"C0025485 {source=""ncithesaurus:Mesoderm""}"
UBERON:0000930,,"C1514977 {source=""ncithesaurus:Stomodeum""}"
UBERON:0000931,,"C0231054 {source=""ncithesaurus:Proctodeum""}"
UBERON:0000933,D010609,"C0031346 {source=""ncithesaurus:Pharyngeal_Muscle""}"
UBERON:0000935,,"C0152335 {source=""BIRNLEX:1557"", source=""ncithesaurus:Anterior_Commissure""}"
UBERON:0000936,,"C0152327 {source=""BIRNLEX:1026"", source=""ncithesaurus:Posterior_Commissure""}"
UBERON:0000939,"D060227 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}",
UBERON:0000941,D009900,"C0029130 {source=""ncithesaurus:Optic_Nerve"", source=""BIRNLEX:1640""}"
UBERON:0000942,,"C0228712 {source=""ncithesaurus:Frontal_Nerve""}"
UBERON:0000945,D013270,"C0038351 {source=""ncithesaurus:Stomach""}"
UBERON:0000946,D006351,"C0018826 {source=""ncithesaurus:Cardiac_Valve""}"
UBERON:0000947,D001011,"C0003483 {source=""ncithesaurus:Aorta""}"
UBERON:0000948,D006321,"C0018787 {source=""ncithesaurus:Heart""}"
UBERON:0000949,D004703,"C0014136 {source=""ncithesaurus:Endocrine_System""}"
UBERON:0000950,,"C0224439 {source=""ncithesaurus:Gracilis""}"
UBERON:0000955,D001921,"C0006104 {source=""ncithesaurus:Brain"", source=""BIRNLEX:796""},C1269537 {source=""BIRNLEX:796""}"
UBERON:0000956,D002540,"C0007776 {source=""ncithesaurus:Cortex"", source=""BIRNLEX:1494""}"
UBERON:0000959,D009897,"C0029126 {source=""BIRNLEX:1416"", source=""ncithesaurus:Optic_Chiasm""}"
UBERON:0000961,,"C0229010 {source=""ncithesaurus:Thoracic_Ganglion""}"
UBERON:0000962,,"C0228815 {source=""ncithesaurus:Cervical_Nerve""}"
UBERON:0000964,D003315,"C0010031 {source=""ncithesaurus:Cornea""}"
UBERON:0000965,D007908,"C0023317 {source=""ncithesaurus:Crystalline_Lens""}"
UBERON:0000966,D012160,"C0035298 {source=""BIRNLEX:1153"", source=""ncithesaurus:Retina""},C1278894 {source=""BIRNLEX:1153""}"
UBERON:0000970,D005123,
UBERON:0000974,D009333,"C0027530 {source=""ncithesaurus:Neck""}"
UBERON:0000975,D013249,"C0038293 {source=""ncithesaurus:Sternum""}"
UBERON:0000976,D006811,"C0020164 {source=""ncithesaurus:Humerus""}"
UBERON:0000977,D010994,"C0032225 {source=""ncithesaurus:Pleural_Tissue""}"
UBERON:0000978,D035002,
UBERON:0000979,D013977,"C0040184 {source=""ncithesaurus:Tibia""}"
UBERON:0000980,,"C0162370 {source=""ncithesaurus:Trochanter""}"
UBERON:0000981,D005269,"C0015811 {source=""ncithesaurus:Femur""}"
UBERON:0000982,D007596,"C0022417 {source=""ncithesaurus:Joint""}"
UBERON:0000985,D001367,"C0004456 {source=""ncithesaurus:Axillary_Vein""}"
UBERON:0000988,D011149,"C0032639 {source=""BIRNLEX:733"", source=""ncithesaurus:Pons_Varolii""},C1280999 {source=""BIRNLEX:733""}"
UBERON:0000989,D010413,"C0030851 {source=""ncithesaurus:Penis""}"
UBERON:0000990,"D005835 {mapping:provider=""https://github.com/biopragmatics/biomappings"", mapping:justification=""https://w3id.org/semapv/vocab/LexicalMatching""}","C1261210 {source=""ncithesaurus:Reproductive_System""}"
UBERON:0000991,D006066,"C0018067 {source=""ncithesaurus:Gonad""}"
UBERON:0000992,D010053,"C0029939 {source=""ncithesaurus:Ovary""}"
UBERON:0000993,D010057,"C0029954 {source=""ncithesaurus:Oviduct""}"
UBERON:0000995,D014599,"C0042149 {source=""ncithesaurus:Uterus""}"
UBERON:0000996,D014621,"C0042232 {source=""ncithesaurus:Vagina""}"
UBERON:0000997,D014844,"C0042993 {source=""ncithesaurus:Vulva""}"
UBERON:0000998,D012669,"C0036628 {source=""ncithesaurus:Seminal_Vesicle""}"
UBERON:0000999,D004543,"C0013747 {source=""ncithesaurus:Ejaculatory_Duct""}"
UBERON:0001000,D014649,"C0042360 {source=""ncithesaurus:Vas_Deferens""}"
UBERON:0001003,D004817,"C0014520 {source=""ncithesaurus:Epidermis""}"
UBERON:0001004,D012137,"C0035237 {source=""ncithesaurus:Respiratory_System""}"
UBERON:0001007,D004064,
UBERON:0001008,D014551,"C1508753 {source=""ncithesaurus:Urinary_System""}"
UBERON:0001009,"D002319 {mapping:provider=""https://github.com/biopragmatics/biomappings"", mapping:justification=""https://w3id.org/semapv/vocab/LexicalMatching""}",
UBERON:0001011,D006458,
UBERON:0001013,D000273,"C0001527 {source=""ncithesaurus:Adipose_Tissue""}"
UBERON:0001015,,"C0026845 {source=""ncithesaurus:Muscle""}"
UBERON:0001016,D009420,"C0027763 {source=""ncithesaurus:Nervous_System""}"
UBERON:0001017,D002490,"C0927232 {source=""ncithesaurus:Central_Nervous_System"", source=""BIRNLEX:1099""}"
UBERON:0001019,,"C1185741 {source=""ncithesaurus:Fascicle""}"
UBERON:0001020,,"C1185742 {source=""ncithesaurus:Commissure""}"
UBERON:0001021,D010525,"C0027740 {source=""ncithesaurus:Nerve""},C0031119 {source=""ncithesaurus:Peripheral_Nerve""}"
UBERON:0001031,D009441,"C0027807 {source=""ncithesaurus:Sheath_of_Schwann""}"
UBERON:0001037,D006197,"C0018494 {source=""ncithesaurus:Hair""}"
UBERON:0001040,D015017,"C0043425 {source=""ncithesaurus:Yolk_Sac""}"
UBERON:0001041,,"C0231051 {source=""ncithesaurus:Foregut""}"
UBERON:0001042,D010614,"C0031354 {source=""ncithesaurus:Pharynx""}"
UBERON:0001043,D004947,"C0014876 {source=""ncithesaurus:Esophagus""}"
UBERON:0001044,D012469,"C0036098 {source=""ncithesaurus:Salivary_Gland""}"
UBERON:0001045,,"C0231052 {source=""ncithesaurus:Midgut""}"
UBERON:0001046,,"C0231053 {source=""ncithesaurus:Hindgut""}"
UBERON:0001048,,"C0678727 {source=""ncithesaurus:Primordium""}"
UBERON:0001049,"D054259 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0231024 {source=""ncithesaurus:Neural_Tube""}"
UBERON:0001051,D007013,"C0020629 {source=""ncithesaurus:Hypopharynx""}"
UBERON:0001052,D012007,"C0034896 {source=""ncithesaurus:Rectum""}"
UBERON:0001054,D008317,
UBERON:0001057,D003335,
UBERON:0001058,D024521,
UBERON:0001062,,"C1515976 {source=""ncithesaurus:Anatomic_Structure_System_or_Substance""}"
UBERON:0001064,D010183,"C0030288 {source=""ncithesaurus:Pancreatic_Duct""}"
UBERON:0001065,,"C0227458 {source=""ncithesaurus:Parotid_Duct""}"
UBERON:0001066,D007403,"C0021815 {source=""ncithesaurus:Intervertebral_Disc""}"
UBERON:0001067,D021801,"C0224521 {source=""ncithesaurus:Facet_Joint""}"
UBERON:0001069,,"C0227579 {source=""ncithesaurus:Head_of_the_Pancreas""}"
UBERON:0001070,D002342,"C0007275 {source=""ncithesaurus:External_Carotid_Artery""}"
UBERON:0001071,,"C0226271 {source=""ncithesaurus:Superficial_Cervical_Artery""}"
UBERON:0001072,D014682,"C0042458 {source=""ncithesaurus:Inferior_Vena_Cava""}"
UBERON:0001074,,"C0225972 {source=""ncithesaurus:Pericardial_Cavity""}"
UBERON:0001075,,"C0223084 {source=""ncithesaurus:Vertebral_Body""}"
UBERON:0001078,,"C0223080 {source=""ncithesaurus:Pedicle_of_Vertebral_Arch""}"
UBERON:0001084,,"C0205029 {source=""ncithesaurus:Head_Skin""}"
UBERON:0001085,,"C0205031 {source=""ncithesaurus:Skin_of_the_Trunk""}"
UBERON:0001088,D014556,"C0042036 {source=""ncithesaurus:Urine""}"
UBERON:0001089,D013542,"C0038984 {source=""ncithesaurus:Sweat""}"
UBERON:0001090,D013582,"C0039097 {source=""ncithesaurus:Synovial_Fluid""}"
UBERON:0001091,D014070,"C0040426 {source=""ncithesaurus:Tooth""}"
UBERON:0001092,D001270,"C0004170 {source=""ncithesaurus:C1_Vertebra""}"
UBERON:0001093,D001368,"C0004457 {source=""ncithesaurus:C2_Vertebra""}"
UBERON:0001094,,"C1261045 {source=""ncithesaurus:Sacral_Vertebra""}"
UBERON:0001095,,"C0223616 {source=""ncithesaurus:Coccygeal_Vertebra""}"
UBERON:0001097,,"C0729594 {source=""ncithesaurus:Axillary_Lymph_Node""}"
UBERON:0001098,D007180,"C0021156 {source=""ncithesaurus:Incisor""}"
UBERON:0001099,,"C0226653 {source=""ncithesaurus:Subcostal_Vein""}"
UBERON:0001100,,"C0224347 {source=""ncithesaurus:Pectoralis_Minor""}"
UBERON:0001101,,"C0226543 {source=""ncithesaurus:External_Jugular_Vein""}"
UBERON:0001103,D003964,"C0011980 {source=""ncithesaurus:Diaphragm""}"
UBERON:0001104,,"C0226545 {source=""ncithesaurus:Anterior_Jugular_Vein""}"
UBERON:0001105,D002968,"C0008913 {source=""ncithesaurus:Clavicle""}"
UBERON:0001106,,"C0226802 {source=""ncithesaurus:Cephalic_Vein""}"
UBERON:0001107,,"C0224162 {source=""ncithesaurus:Sternohyoid""}"
UBERON:0001108,,"C0224163 {source=""ncithesaurus:Omohyoid""}"
UBERON:0001109,,"C0224166 {source=""ncithesaurus:Sternothyroid""}"
UBERON:0001110,,"C0224167 {source=""ncithesaurus:Thyrohyoid""}"
UBERON:0001111,D007366,"C0021724 {source=""ncithesaurus:Intercostal_Muscle""}"
UBERON:0001112,,"C0224362 {source=""ncithesaurus:Musculus_Latissimus_Dorsi""}"
UBERON:0001113,,"C0447541 {source=""ncithesaurus:Liver_Lobe""}"
UBERON:0001114,,"C0227481 {source=""ncithesaurus:Right_Lobe_of_the_Liver""}"
UBERON:0001115,,"C0227486 {source=""ncithesaurus:Left_Lobe_of_the_Liver""}"
UBERON:0001117,,"C0227489 {source=""ncithesaurus:Lobus_Caudatus""}"
UBERON:0001118,,"C0447647 {source=""ncithesaurus:Thyroid_Gland_Lobe""}"
UBERON:0001119,,"C0229581 {source=""ncithesaurus:Right_Thyroid_Gland_Lobe""}"
UBERON:0001120,,"C0229582 {source=""ncithesaurus:Left_Thyroid_Gland_Lobe""}"
UBERON:0001121,,"C0224169 {source=""ncithesaurus:Longus_Colli""}"
UBERON:0001122,,"C0224174 {source=""ncithesaurus:Scalenus_Medius""}"
UBERON:0001123,,"C1710019 {source=""ncithesaurus:Scalenus_Dorsalis""}"
UBERON:0001125,,"C1710059 {source=""ncithesaurus:Serratus_Ventralis""}"
UBERON:0001126,,"C1710058 {source=""ncithesaurus:Serratus_Dorsalis_Cranialis""}"
UBERON:0001127,,"C1711277 {source=""ncithesaurus:Serratus_Dorsalis_Caudalis""}"
UBERON:0001128,,"C0224153 {source=""ncithesaurus:Sternocleidomastoid_Muscle""}"
UBERON:0001129,,"C0584884 {source=""ncithesaurus:Subscapularis""}"
UBERON:0001130,D013131,"C0037949 {source=""ncithesaurus:Vertebral_Column""},C1519455 {source=""ncithesaurus:Spinal_Cord_Column""}"
UBERON:0001132,D010280,"C0030518 {source=""ncithesaurus:Parathyroid_Gland""}"
UBERON:0001134,,"C0242692 {source=""ncithesaurus:Skeletal_Muscle_Tissue""}"
UBERON:0001135,D009130,"C1267092 {source=""ncithesaurus:Smooth_Muscle_Tissue""}"
UBERON:0001136,,"C0086610 {source=""ncithesaurus:Mesothelium""}"
UBERON:0001137,D001415,"C0004600 {source=""ncithesaurus:Back""}"
UBERON:0001138,,"C0226742 {source=""ncithesaurus:Superior_Mesenteric_Vein""}"
UBERON:0001139,,"C0226758 {source=""ncithesaurus:Common_Iliac_Vein""}"
UBERON:0001140,D012082,"C0035092 {source=""ncithesaurus:Renal_Vein""}"
UBERON:0001141,,"C0508000 {source=""ncithesaurus:Right_Renal_Vein""}"
UBERON:0001142,,"C0508001 {source=""ncithesaurus:Left_Renal_Vein""}"
UBERON:0001143,D006503,"C0019155 {source=""ncithesaurus:Hepatic_Vein""}"
UBERON:0001144,,"C0226718 {source=""ncithesaurus:Spermatic_Vein""}"
UBERON:0001145,,"C0226720 {source=""ncithesaurus:Ovarian_Vein""}"
UBERON:0001146,,"C0226717 {source=""ncithesaurus:Suprarenal_Vein""}"
UBERON:0001148,D008475,"C0025058 {source=""ncithesaurus:Median_Nerve""}"
UBERON:0001150,,"C0227582 {source=""ncithesaurus:Body_of_the_Pancreas""}"
UBERON:0001151,,"C0227590 {source=""ncithesaurus:Tail_of_the_Pancreas""}"
UBERON:0001152,D003549,"C0010672 {source=""ncithesaurus:Cystic_Duct""}"
UBERON:0001153,D002432,"C0007531 {source=""ncithesaurus:Cecum""}"
UBERON:0001154,D001065,"C0003617 {source=""ncithesaurus:Vermiform_Appendix""}"
UBERON:0001155,D003106,"C0009368 {source=""ncithesaurus:Colon""}"
UBERON:0001156,"D044682 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0227375 {source=""ncithesaurus:Ascending_Colon""}"
UBERON:0001157,"D044684 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0227386 {source=""ncithesaurus:Transverse_Colon""}"
UBERON:0001158,"D044683 {mapping:justification=""https://w3id.org/semapv/vocab/ManualMappingCuration"", author:id=""https://orcid.org/0000-0001-9439-5346"", mapping:provider=""https://github.com/biopragmatics/biomappings""}","C0227389 {source=""ncithesaurus:Descending_Colon""}"
UBERON:0001159,D012809,"C0227391 {source=""ncithesaurus:Sigmoid_Colon""},C0682612 {source=""ncithesaurus:Sigmoid_Flexure""}"
UBERON:0001160,D005748,"C0017129 {source=""ncithesaurus:Fundus_of_the_Stomach""}"
